prezzo,m2,via,quartiere
 850/mese,70m²,Via San Vito Romano,PRENESTINO LABICANO
 2.800/mese,102m²,Piazza del Risorgimento,PRATI
 4.600/mese,150m²,Via Aurelia,GREGORIO XI
 1.200/mese,132m²,via frascineto,CAMPO ROMANO
 550/mese,45m²,Via Monti della Storta,LA STORTA
 1.050/mese,45m²,Via Calatafimi,CASTRO PRETORIO
 1.600/mese,140m²,Via Sergio Bragato,ISOLA FARNESE
 1.100/mese,103m²,Via Vincenzo Brunacci,MARCONI
 600/mese,65m²,Via Valle Corazza,CESANO
 1.350/mese,95m²,Via Trionfale,OTTAVIA
 650/mese,64m²,Via di Fontana Candida,FINOCCHIO
 1.500/mese,130m²,"Corso francia ,",PONTE MILVIO
 8.300/mese,350m²,Viale dell'Umanesimo,EUR
 1.000/mese,85m²,Via di Casal Bruciato,CASAL BRUCIATO
 900/mese,63m²,Via Portuense,PORTUENSE
 1.450/mese,79m²,Via Salvatore Quasimodo,FERRATELLA
 1.100/mese,109m²,Via delle Langhe,VALLE SANTA
 500/mese,30m²,Via di Trigoria,TRIGORIA
 2.200/mese,180m²,Via Roncegno,TRIONFALE
 680/mese,55m²,Via Salorno,INFERNETTO
 1.700/mese,97m²,Via Ceresio,VERBANO
 6.500/mese,170m²,Via di Ripetta,CAMPO MARZIO
 945/mese,55m²,Via di Grotte Portella,TOR VERGATA
 1.400/mese,95m²,Via Umberto Boccioni,PARIOLI
 1.200/mese,63m²,Via Giana Anguissola,GROTTA PERFETTA
 800/mese,87m²,Via Francesco Vitalini,LA RUSTICA
 1.100/mese,50m²,Viale Cortina D'ampezzo,CORTINA D'AMPEZZO
 1.200/mese,92m²,Via Vittore Carpaccio,MONTAGNOLA
 1.000/mese,70m²,Via Gino Capponi,APPIO LATINO - ALBERONE
 2.200/mese,172m²,Via Ettore Petrolini,PARIOLI
 1.250/mese,100m²,Via Guido De Ruggiero,MONTAGNOLA
 630/mese,40m²,Via dei Bentivoglio,VILLINI
 1.100/mese,65m²,via Santa Maria Ausiliatrice,FURIO CAMILLO
 1.200/mese,60m²,Via Ruggero Fiore,EROI TRIONFALE
 650/mese,45m²,Via Prenestina,PRENESTINO LABICANO
 1.815/mese,46m²,Via di Marco Simone,FORNO CASALE
 2.000/mese,65m²,Via delle Capannelle,VILLAGGIO APPIO
 950/mese,75m²,Via Cina,TORRINO
 1.300/mese,64m²,Via del Governo Vecchio,PARIONE
 2.100/mese,135m²,Via Rovereto,TRIESTE
 6.000/mese,290m²,Via del Corso,CAMPO MARZIO
 900/mese,80m²,Via Romeo Rodriguez Pereira,BALDUINA
 2.350/mese,178m²,Via Latina,APPIO LATINO - ALBERONE
 900/mese,75m²,Via Gasperina,TOR DI MEZZAVIA
 750/mese,65m²,Via Barzanò,DRAGONA
 1.600/mese,115m²,Strada Provinciale Claudia Braccianese,OLGIATA
 700/mese,100m²,Via Strasatti,FINOCCHIO
 800/mese,30m²,Via Proba Petronia,APPIANO
 450/mese,40m²,Via Francesco Donati,DRAGONA
 1.000/mese,65m²,Via Ettore Giovenale,PIGNETO
 900/mese,85m²,Via dei Berio,TOR TRE TESTE
 3.960/mese,95m²,Via di Marco Simone,FORNO CASALE
 500/mese,30m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
 1.500/mese,112m²,Circonvallazione Nomentana,ITALIA
 380/mese,25m²,Via Polense,OSTERIA DELL'OSA - VALLE CASTIGLIONE
 900/mese,40m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
 990/mese,67m²,Via casal boccone,CASAL BOCCONE
 3.800/mese,133m²,Via Giulia,REGOLA
 1.200/mese,90m²,Via Muzio Attendolo Sforza,PIGNETO
 900/mese,45m²,Via Nadir Quinto,MEZZOCAMMINO
 500/mese,30m²,Via Cerchiara,TECNOPOLO
 4.290/mese,95m²,Via di Marco Simone,FORNO CASALE
 700/mese,43m²,Vicolo Veientano,GROTTAROSSA
 6.700/mese,435m²,via Rhodesia ,EUR
 3.100/mese,170m²,Via Urbana,MONTI
 950/mese,100m²,"Via dell'Accademia del Cimento, 103",TOR MARANCIA
 1.050/mese,45m²,Via della Casetta Mattei,CASETTA MATTEI
 1.550/mese,101m²,Via Catania,ITALIA
 1.100/mese,65m²,Via Pio Foà,MONTEVERDE NUOVO
 2.200/mese,200m²,Via della Camilluccia,CAMILLUCCIA
 799/mese,78m²,via Enrico Cruciani Alibrandi,VIGNA PIA
 2.700/mese,170m²,Via dei Monti Parioli,PARIOLI
 650/mese,56m²,Via Cislago,SELVA CANDIDA
 950/mese,72m²,Via Guido Castelnuovo,MARCONI
 2.300/mese,184m²,Via Manfredi Azzarita,TOMBA DI NERONE
 750/mese,50m²,Via Vinicio Cortese,CASAL BRUNORI
 1.500/mese,60m²,Via dei Chiavari,S. EUSTACHIO
 4.700/mese,250m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
 2.100/mese,130m²,Via Archimede,PARIOLI
 1.300/mese,94m²,via Manfredi Azzarita,TOMBA DI NERONE
 1.500/mese,140m²,Via di Casal Palocco,CASAL PALOCCO
 1.400/mese,122m²,Via Ferdinando Galiani,COLLINA FLEMING
 8.370/mese,251m²,Via Barberini,TREVI
 1.950/mese,175m²,Via Angelina Marsciano,TRIONFALE
 650/mese,30m²,Via Francesco Petrarca,ESQUILINO
 1.050/mese,95m²,Via Giovanni De Calvi,COLLI PORTUENSI
 890/mese,90m²,Via Eligio Possenti,LA STORTA
 750/mese,30m²,Via Montebello,CASTRO PRETORIO
 1.600/mese,150m²,Via Val d'Ossola,SACCO PASTORE
 1.300/mese,80m²,Via Tommaso Campanella,EROI TRIONFALE
 700/mese,60m²,Via Giacomo Laurenzani,TORRE ANGELA
 2.000/mese,150m²,Via Antonio Gallonio,ITALIA
 2.500/mese,160m²,Via Arbia,VERBANO
 1.600/mese,180m²,Via Torcegno,INFERNETTO
 3.400/mese,182m²,Via Boncompagni,LUDOVISI
 1.500/mese,88m²,Via Gian Francesco Albani,AURELIO
 1.500/mese,80m²,Via Rodi,EROI TRIONFALE
 1.100/mese,103m²,Via Pietro Marchisio,CINECITTA' EST
 1.200/mese,60m²,via Via Giorgio Ribotta 21,TESTACCIO
 1.190/mese,60m²,Via Carlo Passaglia,EROI TRIONFALE
 14.500/mese,400m²,Via Alessandro Poerio,MONTEVERDE VECCHIO
 1.500/mese,74m²,Via dei Monti Parioli,PARIOLI
 2.000/mese,120m²,Viale Parioli,PARIOLI
 700/mese,65m²,Via dell'Isola Farnese,LA STORTA
 1.000/mese,97m²,Via Gesualdo Bufalino,BUFALOTTA
 1.700/mese,100m²,Via degli Scipioni,PRATI
 2.900/mese,140m²,Via Clementina,MONTI
 1.000/mese,50m²,Via di Casal Bertone,CASAL BERTONE
 850/mese,74m²,Via Salorno,INFERNETTO
 1.100/mese,85m²,Via Andrea Millevoi,MILLEVOI
 500/mese,34m²,Via dei Due Ponti,DUE PONTI
 1.200/mese,92m²,Via Pietro Maffi,PRIMAVALLE
 3.000/mese,126m²,"Via Margutta ,",CAMPO MARZIO
 850/mese,63m²,Via Mompeo,DUE PONTI
 950/mese,60m²,Via del Pianeta Terra,DECIMA
 2.700/mese,145m²,Via Antonio Bertoloni,PARIOLI
 1.150/mese,106m²,Viale Ronchi,VILLA GORDIANI
 950/mese,85m²,Piazza Ragusa,TUSCOLANO
 1.100/mese,150m²,Largo dell'Olgiata,OLGIATA
 2.300/mese,198m²,Via Passignano sul Trasimeno,COLLINA FLEMING
 1.200/mese,59m²,Corso Vittorio Emanuele II,PARIONE
 750/mese,54m²,Via dei Savorelli,AURELIO
 1.270/mese,90m²,Via Dignano d'Istria,VILLA GORDIANI
 1.700/mese,85m²,Piazza della Rovere,TRASTEVERE
 900/mese,56m²,Via Graziano,BALDO DEGLI UBALDI
 1.200/mese,70m²,Via dell'Alpinismo,FARNESINA
 600/mese,30m²,Via Raffaele Stasi,DUE PONTI
 1.800/mese,152m²,Via Giovanni Angelini,PORTUENSE
 2.500/mese,110m²,Via Nazionale,MONTI
 1.300/mese,100m²,via Lione,CASTELLACCIO
 1.500/mese,79m²,"Via Nicola Nisco, 27",APPIO LATINO - ALBERONE
 6.500/mese,170m²,Via di Ripetta,CAMPO MARZIO
 1.000/mese,100m²,Via Fosso del Fontaniletto,GROTTAROSSA
 550/mese,35m²,Via John Lennon,VALLERANO
 1.700/mese,120m²,Via Savoia,SALARIO
 1.100/mese,62m²,Via della Divisione Torino,GIULIANO DALMATA
 2.700/mese,137m²,Piazza Barberini,TREVI
 750/mese,70m²,VIA GIUSEPPE VINER,MALAFEDE
 1.150/mese,90m²,Via Enrico Mancini,GIUSTINIANA
 650/mese,65m²,Via Domenico Modugno,GIARDINO DI ROMA
 990/mese,50m²,Lungomare Duca degli Abruzzi,OSTIA PONENTE
 500/mese,20m²,Via Carlo Emanuele I,ESQUILINO
 1.300/mese,110m²,Via di Villa Lauricella,PRENESTINO LABICANO
 4.500/mese,400m²,via Via Tullio Passarelli,TOR DE' CENCI
 450/mese,40m²,Via Francesco Donati,DRAGONA
 2.000/mese,200m²,Via Filippo Maria Pirelli,AURELIO
 650/mese,51m²,Via Giulio Curioni,COLLINA LANCIANI
 1.000/mese,75m²,Via Andrea del Castagno,TINTORETTO
 1.500/mese,105m²,Piazza Clemente Origo,MEZZOCAMMINO
 1.000/mese,80m²,Piazza Tuscolo,APPIO S. GIOVANNI
 1.400/mese,86m²,Via Bevagna,COLLINA FLEMING
 950/mese,80m²,Via Fulvio Tomassucci,MOSTACCIANO
 1.250/mese,84m²,Via Tripolitania,AFRICANO
 1.200/mese,68m²,Via Monte Grimano,COLLE SALARIO
 6.500/mese,415m²,Piazzale Numa Pompilio,CELIO
 700/mese,50m²,Via Francesco Menzio,MALAFEDE
 1.300/mese,125m²,Via Gesualdo Bufalino,BUFALOTTA
 1.250/mese,100m²,Via Giulio Galli,GIUSTINIANA
 999/mese,38m²,Via dei Capocci,MONTI
 950/mese,60m²,Via Anagnina,CENTRONI - VALLE MARCIANA
 950/mese,60m²,Via Giana Anguissola,GROTTA PERFETTA
 650/mese,45m²,Via Prenestina,PRENESTINO LABICANO
 7.000/mese,350m²,Via Pietro Nardini,INFERNETTO
 1.300/mese,82m²,Via Antonio Serra,COLLINA FLEMING
 1.980/mese,46m²,Via di Marco Simone,FORNO CASALE
 950/mese,75m²,Via Federico Filippini,CERQUETTE GRANDI
 1.800/mese,60m²,Piazza Ippolito Nievo,MONTEVERDE VECCHIO
 700/mese,40m²,Via Messina,SALARIO
 1.850/mese,118m²,Via Cagliari,SALARIO
 6.000/mese,660m²,Vicolo del Casale di San Nicola,LA STORTA
 1.000/mese,65m²,Via Francesco Ripandelli,VILLA BONELLI
 9.500/mese,180m²,piazza farnese,REGOLA
 650/mese,50m²,Via Lucio Colletti,NUOVA TOR VERGATA
 950/mese,95m²,Viale della Primavera,CENTOCELLE
 950/mese,83m²,Largo Orazi e Curiazi,FURIO CAMILLO
 1.150/mese,110m²,Via Sillano,MAGLIANA
 800/mese,46m²,Vicolo di Prato Falcone,DELLA VITTORIA
 1.000/mese,75m²,Via Silvio Benco,VILLA GORDIANI
 1.300/mese,151m²,via paolo barison,TINTORETTO
 2.500/mese,160m²,Via Arbia,VERBANO
 1.800/mese,146m²,via Elio Lampridio Cerva,FONTE MERAVIGLIOSA
 1.300/mese,47m²,Piazza dei Coronari,PONTE
 1.350/mese,151m²,Via Guido Alessi,MEDAGLIE D'ORO
 1.150/mese,80m²,Via Grazia Deledda,CECCHINA
 630/mese,40m²,Via dei Bentivoglio,VILLINI
 550/mese,45m²,Via Cesarò,BORGHESIANA
 1.900/mese,140m²,Via Trionfale,OTTAVIA
 1.000/mese,75m²,Viale Pantelleria,PRATI FISCALI
 4.150/mese,180m²,Via Paolo Mercuri,PRATI
 1.450/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
 1.250/mese,100m²,Via Fontanellato,MONTAGNOLA
 1.000/mese,100m²,Via Frisa,VILLAGGIO PRENESTINO
 950/mese,100m²,Via Carlo Muscetta,BUFALOTTA
 1.200/mese,130m²,Via dei Monti di Primavalle,PRIMAVALLE
 900/mese,62m²,Via Antonio Serra,COLLINA FLEMING
 700/mese,75m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
 700/mese,90m²,Viale Alessandrino,ALESSANDRINO
 850/mese,90m²,Via del Fosso di San Matteo,TOR VERGATA
 750/mese,90m²,Via Baldassarre Aloisi,TORRE ANGELA
 700/mese,75m²,Viale Goffredo Parise,SETTECAMINI
 1.350/mese,110m²,Via dell'Orsa Maggiore,TORRINO
 1.100/mese,66m²,Via Mogadiscio,AFRICANO
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 919/mese,87m²,Via Asinari di San Marzano,CASAL BERTONE
 1.000/mese,70m²,Via Antonino Pio,SAN PAOLO
 1.600/mese,122m²,Via Otranto,PRATI
 850/mese,55m²,Via Romeo Rodriguez Pereira,BALDUINA
 1.200/mese,115m²,Via Achille Tedeschi,MONTI DI PIETRALATA
 10.000/mese,230m²,Via di Ripetta,CAMPO MARZIO
 800/mese,40m²,Via Gradoli,TOMBA DI NERONE
 1.100/mese,130m²,Piazza Luigi Porro Lambertenghi,VAL MELAINA
 2.900/mese,143m²,Via dell'Arco di San Calisto,TRASTEVERE
 1.200/mese,112m²,Largo Alessandro Vessella,VESCOVIO
 2.400/mese,148m²,Via Domenico De Dominicis,CASAL BERTONE
 900/mese,65m²,Via Cesarò,BORGHESIANA
 500/mese,63m²,Via Giuseppe Macchi,TORRENOVA
 4.500/mese,288m²,Viale Bruno Buozzi,BELLE ARTI
 1.900/mese,109m²,Via Arbia,VERBANO
 1.300/mese,135m²,via fabio numerio,FURIO CAMILLO
 750/mese,80m²,Via Montefiorino,LABARO
 680/mese,60m²,Via di Pantan Monastero,CASALOTTI
 950/mese,71m²,Via Flaminia,COLLINA FLEMING
 1.400/mese,71m²,Via Paolo Frisi,PARIOLI
 1.100/mese,75m²,Via Lorenzo Rocci,COLLI PORTUENSI
 1.450/mese,60m²,Via del Pellegrino,PARIONE
 3.500/mese,258m²,Via Cassia,TOMBA DI NERONE
 550/mese,40m²,Viale dei Caduti nella Guerra di Liberazione,SPINACETO
 700/mese,63m²,Via Benigno Crespi,TORRENOVA
 1.000/mese,70m²,Via Emilio Albertario,BOCCEA
 700/mese,55m²,Via Valchetta Cartoni,QUARTO PEPERINO
 3.000/mese,155m²,corso Trieste,TRIESTE
 630/mese,40m²,Via dei Bentivoglio,VILLINI
 2.300/mese,110m²,Via Antonio Pollaiolo,PARIOLI
 950/mese,97m²,Viale Pico della Mirandola,MONTAGNOLA
 10.000/mese,1.500m²,Via di Valleranello,VALLERANO
 1.000/mese,71m²,Via Cincinnato,QUADRARO VECCHIO
 870/mese,33m²,Viale Platone,EROI TRIONFALE
 1.900/mese,100m²,Borgo Pio,BORGO
 900/mese,60m²,Via Ugo Ojetti,TALENTI
 1.000/mese,65m²,Via di Grotte Portella,TOR VERGATA
 1.300/mese,120m²,Via Gaspare Pacchiarotti,SERPENTARA
 1.250/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
 950/mese,70m²,Via Colonnello Tommaso Masala,MURATELLA
 2.500/mese,130m²,Via Senofane,CASAL PALOCCO
 2.900/mese,324m²,Via di Selva Nera,SELVA NERA
 1.800/mese,150m²,Piazza Cola di Rienzo,PRATI
 1.300/mese,105m²,Piazza Clemente Origo,MEZZOCAMMINO
 700/mese,88m²,Via Alessandro Santini,MASSIMINA
 800/mese,55m²,Via Anagnina,CENTRONI - VALLE MARCIANA
 1.200/mese,104m²,Via Ida Baccini,CASAL BOCCONE
 1.050/mese,69m²,Via Roncegno,TRIONFALE
 1.750/mese,150m²,Via Paolo Bentivoglio,BALDO DEGLI UBALDI
 3.400/mese,270m²,Via Massimo Meliconi,CASAL BRUNORI
 1.400/mese,66m²,Via Tito Maccio Plauto,BORGO
 900/mese,93m²,via Flavio Stilicone,DON BOSCO
 4.100/mese,331m²,Campo De' Fiori,PARIONE
 1.900/mese,135m²,Via Benedetto Croce,MONTAGNOLA
 1.400/mese,90m²,Via dei Fabi,VIGNA CLARA
 1.270/mese,85m²,Via Raffaele Conforti,VAL CANNUTA
 1.300/mese,106m²,Via Peccioli,NUOVO SALARIO
 804/mese,45m²,Via di Grotte Portella,TOR VERGATA
 7.000/mese,212m²,Piazza Euclide,PARIOLI
 550/mese,45m²,Via Carapelle Calvisio,LUNGHEZZINA
 2.000/mese,160m²,Viale dell'Umanesimo,EUR
 700/mese,50m²,Via del Lago Terrione,AURELIO
 2.200/mese,180m²,Via Roncegno,TRIONFALE
 1.350/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
 950/mese,60m²,Via Rocca di Papa,COLLI ALBANI
 1.600/mese,148m²,Via Ravenna,ITALIA
 9.000/mese,846m²,Vicolo del Casale Lumbroso,CASAL LUMBROSO
 640/mese,25m²,Via dei Vestini,S. LORENZO
 1.700/mese,163m²,Via Raffaele Cappelli,COLLINA FLEMING
 1.000/mese,100m²,Via Carlo Muscetta,BUFALOTTA
 650/mese,38m²,Via Stefano Borgia,PRIMAVALLE
 380/mese,25m²,Via Polense,OSTERIA DELL'OSA - VALLE CASTIGLIONE
 2.300/mese,167m²,via Archimede,PARIOLI
 1.200/mese,100m²,Via Tancredi Cartella,PORTONACCIO
 500/mese,30m²,Via Vittorio Montiglio,TRIONFALE
 650/mese,46m²,Via del Trullo,TRULLO
 5.500/mese,200m²,Via Panisperna,MONTI
 700/mese,40m²,Via Lucio II,PINETA SACCHETTI
 700/mese,40m²,Via Salorno,INFERNETTO
 650/mese,30m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
 650/mese,53m²,Via Luigi De Marchi,FONTE LAURENTINA
 1.200/mese,48m²,Viale di Tor di Quinto,PONTE MILVIO
 450/mese,40m²,Via Carenno,PRIMA PORTA
 450/mese,20m²,Via Vito Sinisi,DUE PONTI
 1.000/mese,110m²,Circonvallazione Aurelia,AURELIO
 1.800/mese,121m²,Via Giacinta Pezzana,PARIOLI
 550/mese,35m²,Via John Lennon,VALLERANO
 600/mese,35m²,Via Luchino dal Verme,PRENESTINO LABICANO
 1.900/mese,75m²,Via Boncompagni,LUDOVISI
 2.500/mese,182m²,Viale Ventuno Aprile,ITALIA
 650/mese,64m²,Vicolo di Forma Rotta,FINOCCHIO
 930/mese,51m²,Via arbia,VERBANO
 2.300/mese,140m²,Via Pieve di Cadore,TRIONFALE
 1.350/mese,100m²,Via San Godenzo,SAN GODENZO
 750/mese,35m²,Via della Pisana,VILLINI
 700/mese,45m²,Piazza Pier Carlo Talenti,TALENTI
 1.100/mese,70m²,Via Norico,APPIO S. GIOVANNI
 1.800/mese,80m²,Via delle Quattro Fontane,CASTRO PRETORIO
 1.700/mese,90m²,Via Boncompagni,LUDOVISI
 650/mese,56m²,Via Luigi De Marchi,FONTE LAURENTINA
 670/mese,45m²,Via Luigi De Marchi,FONTE LAURENTINA
 570/mese,40m²,Via Bagnaia,TOMBA DI NERONE
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 600/mese,35m²,Via Lodovico Pavoni,LA MARRANELLA
 2.300/mese,110m²,Via Antonio Pollaiolo,PARIOLI
 760/mese,40m²,Via Alberto da Giussano,PIGNETO
 850/mese,63m²,Via Giovanni Sinchetto,MEZZOCAMMINO
 600/mese,60m²,Via Licodia Eubea,FINOCCHIO
 1.200/mese,110m²,Viale Carnaro,MONTE SACRO
 620/mese,53m²,Via Luigi De Marchi,FONTE LAURENTINA
 2.200/mese,132m²,Via Costantino Corvisieri,LANCIANI
 850/mese,40m²,Via Vedana,MONTAGNOLA
 660/mese,54m²,Via Luigi De Marchi,FONTE LAURENTINA
 750/mese,82m²,Viale della Stella Polare,OSTIA LEVANTE
 600/mese,60m²,Piazza Serrule,FINOCCHIO
 1.200/mese,85m²,Via Enrico dal Pozzo,MARCONI
 550/mese,40m²,Viale dei Caduti nella Guerra di Liberazione,SPINACETO
 700/mese,35m²,Via di Casal Bertone,CASAL BERTONE
 450/mese,20m²,Via Vito Sinisi,DUE PONTI
 1.100/mese,90m²,Via Mattia Battistini,PRIMAVALLE
 750/mese,55m²,Via di Trigoria,TRIGORIA
 1.200/mese,110m²,Via Achille Capizzano,OSTERIA DEL CURATO
 1.500/mese,140m²,Via Antonio Guarnieri,INFERNETTO
 2.000/mese,90m²,Salita di Sant'Onofrio,TRASTEVERE
 2.500/mese,100m²,Via della Scala,TRASTEVERE
 670/mese,45m²,Via Luigi De Marchi,FONTE LAURENTINA
 450/mese,20m²,Via Vito Sinisi,DUE PONTI
 600/mese,35m²,Via Lodovico Pavoni,LA MARRANELLA
 600/mese,35m²,Via della Marranella,LA MARRANELLA
 650/mese,55m²,Via dei Faggi,CENTOCELLE
 700/mese,40m²,Via Ildebrando della Giovanna,MASSIMINA
 1.200/mese,111m²,Via Monterosi,COLLINA FLEMING
 2.500/mese,115m²,Via della Maratona,FARNESINA
 1.450/mese,132m²,Via Lattanzio,APPIANO
 670/mese,45m²,Via Luigi De Marchi,FONTE LAURENTINA
 2.200/mese,68m²,Via Goffredo Mameli,TRASTEVERE
 1.400/mese,64m²,Via Famagosta,PRATI
 680/mese,57m²,Via Luigi De Marchi,FONTE LAURENTINA
 600/mese,35m²,Via Lodovico Pavoni,LA MARRANELLA
 1.600/mese,76m²,Viale di Villa Grazioli,PARIOLI
 650/mese,55m²,Viale della Primavera,CENTOCELLE
 600/mese,30m²,Via Giovanni Lampariello,FONTE LAURENTINA
 1.250/mese,80m²,Via dei Galla e Sidama,AFRICANO
 1.600/mese,140m²,Viale Cesare Pavese,FERRATELLA
 550/mese,65m²,Via Corato,PRATO FIORITO
 1.650/mese,114m²,Viale Marco Polo,MIANI
 600/mese,55m²,Via Carlo Bernardo Mosca,NUOVA PONTE DI NONA
 600/mese,67m²,Via Attilio Verdirosi,CESANO
 2.200/mese,60m²,Via dei Coronari,PONTE
 700/mese,65m²,Via Salemi,GROTTE CELONI
 1.400/mese,1.400m²,Via Marco Besso,VIGNA CLARA
 550/mese,65m²,Via Corato,PRATO FIORITO
 1.500/mese,99m²,Via Pietro Mascagni,VESCOVIO
 1.250/mese,55m²,Via Angelo Messedaglia,COLLINA FLEMING
 2.100/mese,135m²,Viale di Villa Grazioli,PARIOLI
 720/mese,175m²,Via Alessandro Stoppato,ROMANINA
 650/mese,55m²,Viale della Primavera,CENTOCELLE
 1.300/mese,60m²,Via Giuseppe Gioachino Belli,PRATI
 600/mese,70m²,Via Stefano Pittaluga,GROTTE CELONI
 11.000/mese,300m²,Via Nicola Martelli,PARIOLI
 1.300/mese,61m²,Via Giuseppe Gioachino Belli,PRATI
 700/mese,40m²,Via dei Durantini,MONTI TIBURTINI
 1.900/mese,55m²,Via Goffredo Mameli,TRASTEVERE
 1.400/mese,60m²,Via Rasella,TREVI
 900/mese,80m²,Via Cirillo Monzani,NUOVO SALARIO
 1.300/mese,135m²,Viale cesare pavese,FERRATELLA
 1.750/mese,100m²,Via Nomentana,LANCIANI
 700/mese,55m²,Via Castelvetrano,BORGHESIANA
 1.500/mese,87m²,Via della Farnesina,FARNESINA
 910/mese,89m²,Via Frigento,NUOVA GORDIANI
 1.480/mese,65m²,Via di San Francesco di Sales,TRASTEVERE
 950/mese,80m²,Via Tespi,AXA
 600/mese,50m²,Via Mussomeli,BORGHESIANA
 600/mese,35m²,Via Antonio Tempesta,LA MARRANELLA
 950/mese,70m²,Via Francesco Datini,MONTEVERDE NUOVO
 670/mese,55m²,Via San Giuseppe Cafasso,PONTE MAMMOLO
 850/mese,80m²,Via Pellaro,VILLAGGIO APPIO
 800/mese,45m²,Via di Monte del Gallo,AURELIO
 650/mese,30m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
 950/mese,63m²,Via Villa di Faonte,VIGNE NUOVE
 1.550/mese,73m²,Via baccina,MONTI
 1.200/mese,90m²,Via Pietro Maffi,PRIMAVALLE
 1.850/mese,80m²,Via Flaminia,COLLINA FLEMING
 1.300/mese,70m²,Via Amsterdam,CASTELLACCIO
 2.000/mese,110m²,via Sallustiana 1,SALLUSTIANO
 600/mese,65m²,Via Umberto Puppini,NUOVA PONTE DI NONA
 600/mese,30m²,Via Ardeatina,FALCOGNANA-DIVINO AMORE
 1.050/mese,62m²,Via Andrea Di Bonaiuto,OTTAVO COLLE
 55.000/mese,1.380m²,Via di Villa Sacchetti,BELLE ARTI
 790/mese,50m²,Via Antonio Vivaldi,VESCOVIO
 1.950/mese,117m²,Largo della Fontanella di Borghese,CAMPO MARZIO
 2.400/mese,220m²,Via Giovanni Arrivabene,VIGNA CLARA
 850/mese,45m²,Viale Guglielmo Marconi,MARCONI
 1.300/mese,60m²,Via Ronciglione,VIGNA CLARA
 550/mese,65m²,Via Corato,PRATO FIORITO
 720/mese,60m²,Via Giorgio De Lullo,GIARDINO DI ROMA
 950/mese,110m²,Via Andrea del Verrocchio,CASETTA MATTEI
 1.050/mese,67m²,Via della Vetrina,PONTE
 850/mese,100m²,Via stezzano,ACILIA SUD
 2.000/mese,179m²,VIA DEI FAGGELLA,GREGORIO XI
 850/mese,70m²,Via Zignago,TORREVECCHIA BASSA
 600/mese,60m²,Via Achille Mauri,MONTE MARIO
 900/mese,62m²,Via Urbano II,BOCCEA
 500/mese,45m²,Via Rubra,LABARO
 900/mese,70m²,Via Camesena,MONTI DI PIETRALATA
 685/mese,60m²,Via del Grano,ALESSANDRINO
 1.290/mese,82m²,Via Giovanni Paolo Pannini,FLAMINIO
 3.500/mese,80m²,Piazza del Popolo,CAMPO MARZIO
 450/mese,20m²,Via Vito Sinisi,DUE PONTI
 590/mese,70m²,Via Sulbiate,VALLE MURICANA
 1.000/mese,90m²,Via Alessandro Severo,SAN PAOLO
 750/mese,45m²,Via Antonio Lotti,INFERNETTO
 1.400/mese,83m²,Via Massimi,BALDUINA
 900/mese,80m²,Via Fontechiari,CENTOCELLE
 450/mese,40m²,Via Antonio Conti,OLGIATA
 1.150/mese,90m²,Via Maria Bice Valori,PODERE ROSA
 1.200/mese,74m²,Via Orazio Raimondo,ROMANINA
 700/mese,90m²,Via dei Girasoli,ALESSANDRINO
 1.100/mese,90m²,Via Suor Celestina Donati,BATTISTINI
 1.200/mese,124m²,Via Bracciano,GROTTAROSSA
 450/mese,30m²,Via della Giustiniana,PRIMA PORTA
 1.200/mese,140m²,L.go Olgiata,OLGIATA
 940/mese,56m²,Via Vallombrosa,CORTINA D'AMPEZZO
 800/mese,40m²,Via Antonio degli Effetti,APPIO LATINO - ALBERONE
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 1.250/mese,78m²,Piazza Vittorio Emanuele II,ESQUILINO
 6.000/mese,200m²,Via del Tritone,TREVI
 500/mese,22m²,Viale delle Orchidee,CENTOCELLE
 1.800/mese,90m²,Via Margutta,CAMPO MARZIO
 1.450/mese,95m²,Via Polesine,ITALIA
 1.350/mese,125m²,Via Matteo Bartoli,GIULIANO DALMATA
 850/mese,70m²,Via Alberto Trionfi,CASAL BERTONE
 850/mese,60m²,Via Monte Grimano,COLLE SALARIO
 3.300/mese,195m²,Via dei Sansovino,FLAMINIO
 1.000/mese,30m²,Via delle Tre Madonne,PINCIANO
 670/mese,45m²,Via Luigi De Marchi,FONTE LAURENTINA
 4.500/mese,100m²,piazza Borghese 91,CAMPO MARZIO
 950/mese,30m²,Via Paolo Frisi,PARIOLI
 1.300/mese,73m²,Via Diano Marina,TORREVECCHIA ALTA
 1.000/mese,81m²,"Via Della Balduina, 37",BALDUINA
 3.500/mese,219m²,Piazzale Benito Juarez,EUR
 900/mese,50m²,Via Casilina,FINOCCHIO
 960/mese,60m²,Via Alessandro Trotter,CASAL DEI PAZZI
